ZONE,CIRCLE,DIVISION,DIV_CODE_x,area,1ph_sm,1ph_tot,3ph_sm,3ph_tot,CONSUMPTION_CURR_MNTH,CURRENT_ASSESSMENT,HT_sm,HT_tot,billable,idf,mobile_no,mri_billing,mu_billed,neg_inf,ocr_billing,pos_inf,rdf,real,rem_luc,rem_np,slab_abv_10k,tagged,td_cnt,total,total_billed,turn_up,ce%,turn_up %
SITAPUR,EDC SITAPUR,EDD I SITAPUR,DIV392321,"krishna nagar, shastri nagar",917,2005,6,37,2016545.43,16552876.18,0,6,2042,11,2007,354,1815,7,371,2,0,5809052,20,20,266,2035,64,2042,1956,1033,35.1%,52.8%
SITAPUR,EDC SITAPUR,EDD I SITAPUR,DIV392321,maholi town,1421,4500,2,69,840082.35,6756483.97,0,0,4562,44,4377,380,3095,28,606,21,0,4234625.87,410,410,1040,4534,286,4569,4291,1471,62.7%,34.3%
SITAPUR,EDC SITAPUR,EDD I SITAPUR,DIV392321,"ramlila maidan , manni chauraha",1307,3120,5,29,724351.08,6163753.84,0,0,3149,28,3027,455,2772,5,639,1,0,3982651,56,56,504,3140,18,3149,3019,1611,64.6%,53.4%
SITAPUR,EDC SITAPUR,EDD I SITAPUR,DIV392321,vikas nagar khoobpur,1538,3840,15,62,923449.05,7601405.93,0,3,3902,29,3830,469,3418,23,794,0,0,6197199.23,37,37,488,3877,39,3902,3713,2009,81.5%,54.1%
SITAPUR,EDC SITAPUR,EDD MAHMUDABAD,DIV392324,"chandapur bazar, chandpur lodhuni, katra",3,1019,0,3,103532.7,514150.54,0,0,1022,3,937,9,641,0,150,0,0,217568,128,128,217,1010,81,1022,947,162,42.3%,17.1%
SITAPUR,EDC SITAPUR,EDD MAHMUDABAD,DIV392324,jahgirabad  town,2,2393,0,27,465750.77,3091042.2399999998,0,4,2420,75,2276,39,1304,2,393,0,0,1681389,384,384,813,2382,188,2420,2256,372,54.4%,16.5%
SITAPUR,EDC SITAPUR,EDD MAHMUDABAD,DIV392324,"motipur churaha, bibipur",791,3241,4,67,805589.15,6415509.89,0,5,3308,30,3268,205,2695,18,684,0,0,5765500,34,34,335,3215,17,3308,3068,1672,89.9%,54.5%
SITAPUR,EDC SITAPUR,EDD MAHMUDABAD,DIV392324,"paigamber, bhattha",745,2136,3,38,514640.07,4171206.32,0,2,2174,15,2147,110,1790,5,373,1,0,3228443,11,11,173,2122,28,2174,2045,1136,77.4%,55.6%
SITAPUR,EDC SITAPUR,EDD MAHMUDABAD,DIV392324,reusa,3,2337,1,13,223829.65,1707637.21,0,0,2350,31,2141,20,1797,1,305,0,0,514846,571,571,956,2312,252,2350,2247,299,30.1%,13.3%
SITAPUR,EDC SITAPUR,EDD MAHMUDABAD,DIV392324,sevta,1,1709,0,11,121281.06,987078.39,0,0,1720,16,1633,19,1122,1,100,0,0,123114,412,412,569,1681,148,1720,1604,95,12.5%,5.9%
SITAPUR,EDC SITAPUR,EDD MAHMUDABAD,DIV392324,"sherapur, bargadiya, katra, purani bazar, paigamber pur",385,1013,0,24,414408.77,3490336.71,0,8,1037,4,1021,24,774,3,123,1,0,2920550,12,12,110,1021,19,1037,936,431,83.7%,46.0%
