ZONE,CIRCLE,DIVISION,DIV_CODE_x,area,1ph_sm,1ph_tot,3ph_sm,3ph_tot,CONSUMPTION_CURR_MNTH,CURRENT_ASSESSMENT,HT_sm,HT_tot,billable,idf,mobile_no,mri_billing,mu_billed,neg_inf,ocr_billing,pos_inf,rdf,real,rem_luc,rem_np,slab_abv_10k,tagged,td_cnt,total,total_billed,turn_up,ce%,turn_up %
DEVIPATAN ZONE,EDC GONDA,EDD- COLONELGANJ GONDA,DIV355213,katra ipds,822,1572,2,21,386142.36,3748759.02,0,0,1593,17,1514,40,1264,3,292,7,0,1861530,134,134,451,1593,59,1593,1524,346,49.7%,22.7%
DEVIPATAN ZONE,EDC GONDA,EDD- COLONELGANJ GONDA,DIV355213,khargupur ipds,948,2289,0,32,548665.78,5000527.09,0,0,2316,48,2077,21,1340,5,122,12,0,2344663,351,351,1126,2303,234,2321,2230,405,46.9%,18.2%
DEVIPATAN ZONE,EDC GONDA,EDD-MANKAPUR GONDA,DIV355214,dhanaypur,20,74,0,0,8490.7,107889.83,0,0,74,1,69,0,53,1,30,0,0,2490,31,31,48,74,0,74,73,4,2.3%,5.5%
GOMTI NAGAR ZONE,EUDC GOMTI NAGAR,EUDD_CHINHAT,DIV372626,vineet khand,59,343,39,280,363042.52,3154210.16,0,0,557,16,640,226,451,26,94,2,0,2217901,0,0,91,487,1,654,488,388,70.3%,79.5%
GOMTI NAGAR ZONE,EUDC GOMTI NAGAR,EUDD_CHINHAT,DIV372626,whole kashiram colony block 180,2094,2488,1,8,310745.06,2502479.67,0,0,2496,13,2457,151,2294,12,61,2,0,1268669,6,6,223,2495,1,2496,2412,1174,50.7%,48.7%
GOMTI NAGAR ZONE,EUDC GOMTI NAGAR,EUDD_GOMTINAGAR,DIV372622,gwari,430,902,5,39,385293.34,3035682.81,0,0,941,2,914,223,871,13,189,0,0,1996048,0,0,74,941,11,941,929,568,65.8%,61.1%
GOMTI NAGAR ZONE,EUDC GOMTI NAGAR,EUDD_GOMTINAGAR,DIV372622,jugauli,499,1044,3,31,367775.28,3091009.68,0,0,1075,3,1067,165,997,14,292,1,0,2786080,1,1,64,1075,3,1075,1043,728,90.1%,69.8%
GOMTI NAGAR ZONE,EUDC GOMTI NAGAR,EUDD_GOMTINAGAR,DIV372622,ujariyaon,100,999,4,40,427964.4,3597471.74,0,0,1038,5,1000,286,936,7,506,1,0,3139203,0,0,96,1039,6,1039,1020,694,87.3%,68.0%
GOMTI NAGAR ZONE,EUDC INDIRA NAGAR,EUDD_INDIRA_NGR,DIV372691,"beniganj, bahadurpur village",523,1670,16,99,634151.3,5015774.18,1,2,1768,8,1739,448,1529,31,484,2,0,3948344,0,0,77,1766,13,1769,1696,1245,78.7%,73.4%
GOMTI NAGAR ZONE,EUDC INDIRA NAGAR,EUDD_INDIRA_NGR,DIV372691,luvkush nagar,956,1430,18,87,623752.07,5034455.7,0,3,1517,3,1503,247,1428,42,177,0,0,3947509.81,0,0,53,1512,19,1517,1483,1099,78.4%,74.1%
