ZONE,CIRCLE,DIVISION,DIV_CODE_x,area,1ph_sm,1ph_tot,3ph_sm,3ph_tot,CONSUMPTION_CURR_MNTH,CURRENT_ASSESSMENT,HT_sm,HT_tot,billable,idf,mobile_no,mri_billing,mu_billed,neg_inf,ocr_billing,pos_inf,rdf,real,rem_luc,rem_np,slab_abv_10k,tagged,td_cnt,total,total_billed,turn_up,ce%,turn_up %
RAEBARELI,EDC UNNAO,EDD-PDNAGAR UNNAO,DIV332541,puran nagar,2403,5163,2,54,1200184.42,9822617.31,0,0,5216,44,5118,665,4656,14,147,8,0,6860720,13,13,184,5217,1,5217,5140,2826,69.8%,55.0%
SITAPUR,EDC GOLA,EDD III PALIYA,DIV392273,"bheera nagar panchayat area,bank road,main road area",52,3533,7,59,435379.04,3983259.55,0,2,3507,15,3167,155,2627,13,869,3,0,1875146,552,552,1498,3592,491,3592,3442,500,47.1%,14.5%
SITAPUR,EDC GOLA,EDD III PALIYA,DIV392273,"station chauraha,mela maidan,mela gate,mahigran,ahiran",1607,4081,5,58,860429.36,7589822.82,0,0,4138,32,3859,325,3377,8,543,24,0,3387668,313,313,1275,4139,54,4139,4000,989,44.6%,24.7%
SITAPUR,EDC HARDOI,EDD HARDOI,DIV392412,atwa,113,336,0,6,162110.27,1440620.02,0,1,342,3,321,10,263,0,6,0,0,749399,95,95,155,295,75,342,325,21,52.0%,6.5%
SITAPUR,EDC HARDOI,EDD I HARDOI,DIV392411,"chachrapur, adampur, jajwashi, rasulpur, gyanpurwa, baghrayi",126,5470,0,145,558666.63,6189946.6,0,3,5615,60,4924,222,3476,9,597,3,0,1269624,1917,1917,2599,5585,465,5615,5517,661,20.5%,12.0%
SITAPUR,EDC HARDOI,EDD I HARDOI,DIV392411,"jarali kala, jarauli newada, parsola, rampur majhiyara, birni, jalalpur, alligarh",30,4875,0,61,375798.76,3670818.38,0,1,4936,15,4475,84,2033,9,66,2,0,1057671,1486,1486,2457,4935,1229,4936,4861,529,28.8%,10.9%
SITAPUR,EDC HARDOI,EDD I HARDOI,DIV392411,"selapur, piprawa, khwajgipur, sekhwapur purwi, bhithayi, kazipur, terwa",2,3307,0,38,297834.32,2714314.5100000002,0,4,3345,23,3158,358,2661,5,208,0,0,872703,571,571,886,3345,231,3345,3306,751,32.2%,22.7%
SITAPUR,EDC HARDOI,EDD SANDILA,DIV392414,"atrauli market,beniganj road,ganj market,newada chauraha,bharawan road",6,2016,0,26,250619.79,2165641.17,0,1,2042,25,1936,58,758,6,75,0,0,842268,659,659,926,2038,430,2042,1979,206,38.9%,10.4%
SITAPUR,EDC HARDOI,EDD SANDILA,DIV392414,"imam chauk,malkana,makum kua,chhota chauraha,mangal bazar,imaliyag chauraha,mandaai,atrauli road,garhi mandai,chaudhari hata,kisan tola",622,4344,0,16,855816.58,6460662.28,0,1,4360,41,4336,1963,3725,2,166,13,0,4225809,5,5,168,4350,4,4360,4171,2316,65.4%,55.5%
SITAPUR,EDC HARDOI,EDD SANDILA,DIV392414,"kothawan town,beniganj road,sandila road,atrauli road,malehra market",149,2875,0,30,422491.75,2876361.48,0,1,2901,31,2788,516,1645,7,155,6,0,1350690,494,494,709,2902,366,2905,2762,734,47.0%,26.6%
SITAPUR,EDC HARDOI,EDD SANDILA,DIV392414,"railwayganj, kukuhi,gaju tiraha,sumitra tiraha,kachhauna town,gol building,islam nagar,tilak nagar,station road balamau",5,3416,0,25,621134.39,3613093.35,0,1,3441,41,3223,748,2603,3,367,8,0,2253765,170,170,556,3441,191,3441,3365,1227,62.4%,36.5%
SITAPUR,EDC HARDOI,EDD SHAHABAD,DIV392413,"badi pihani/chhoti pihani,mishrana,kanjar chauraha,naagar,chhipitola",466,5437,0,29,825687.78,6212820.24,0,0,5466,28,5288,383,2485,14,110,9,0,2765022,730,730,1481,5449,495,5466,5196,1377,44.5%,26.5%
SITAPUR,EDC HARDOI,EDD SHAHABAD,DIV392413,"beniganj,sarai saif,sulah sarai,patiyaneem,imam chowk",78,5727,2,82,3371417.54,20589231.49,0,0,5809,49,5560,898,4175,10,515,16,0,2714851,994,994,1880,5716,699,5809,5744,1541,13.2%,26.8%
SITAPUR,EDC HARDOI,EDD SHAHABAD,DIV392413,"chowk,khera balaikot,khera ajmat,khera bibijai,akhtiyarpur,dilawarpur",1067,3454,1,29,579522.16,4355773.54,0,0,3483,17,3107,462,2485,8,77,3,0,2068710,91,91,465,3483,94,3483,3386,1153,47.5%,34.1%
SITAPUR,EDC LAKHIMPUR,EDD III LAKHIMPUR NIGHASAN,DIV392263,chakhara,12,1675,0,22,166799.31,1510703.32,0,2,1697,7,1616,17,1474,2,44,2,0,203747,92,92,578,1686,112,1697,1663,152,13.5%,9.1%
SITAPUR,EDC LAKHIMPUR,EDD III LAKHIMPUR NIGHASAN,DIV392263,dhaurahra,663,4134,3,38,847431.44,5083847.78,0,1,4172,245,3909,30,2454,7,220,15,0,1939850,270,270,1305,2080,1337,4172,3812,935,38.2%,24.5%
SITAPUR,EDC LAKHIMPUR,EDD III LAKHIMPUR NIGHASAN,DIV392263,nighasan,623,2469,2,66,889947.61,5966251.0200000005,0,0,2535,8,2276,60,1097,8,52,12,0,1906779,292,292,820,2514,364,2535,2406,428,32.0%,17.8%
SITAPUR,EDC LAKHIMPUR,EDD III LAKHIMPUR NIGHASAN,DIV392263,singahi,50,3177,1,25,541141.3,3140439.61,0,0,3202,12,2754,15,1790,9,338,11,0,927767,230,230,878,3120,601,3202,3077,612,29.5%,19.9%
SITAPUR,EDC LAKHIMPUR,EDD LAKHIMPURKHIRI,DIV392261,"krishna nagar, shastri nagar",41,195,0,1,44637.23,376801.88,0,0,196,0,196,35,175,1,49,2,0,196812,0,0,38,196,1,196,194,81,52.2%,41.8%
SITAPUR,EDC LAKHIMPUR,EDD-MITAULI LAKHIMPURKHIRI,DIV392262,"ambedkar murti area, badi bazar area, nai masjid, paschim mohalla, ram rakhan colony, anshari gali, mainahan road, uttar mohalla, purani masjid, badagaon tiraha, dhakaiyya , kachiyani purwa",20,941,0,4,167115.07,1261785.64,0,0,945,33,897,24,822,2,260,0,0,91718,205,205,497,937,163,945,933,55,7.3%,5.9%
SITAPUR,EDC LAKHIMPUR,EDD-MITAULI LAKHIMPURKHIRI,DIV392262,"badagaon,chafandi, balakram purwa",0,166,0,2,9310.4,140987.28,0,0,168,2,156,1,156,0,41,0,0,14413,40,40,140,168,20,168,167,3,10.2%,1.8%
SITAPUR,EDC LAKHIMPUR,EDD-MITAULI LAKHIMPURKHIRI,DIV392262,"bagiya mohalla, julahan tola, muraun tola,kabadiyan tola,sewala,ektanagar,thatheran tola, kotwali, mahaviri, bagiya, jagatiya, chamraudha, techers colony, shiwala gadhi",45,310,0,3,36404.69,410551.63,0,0,313,3,297,3,259,0,87,0,0,27218,84,84,227,312,81,313,295,8,6.6%,2.7%
SITAPUR,EDC LAKHIMPUR,EDD-MITAULI LAKHIMPURKHIRI,DIV392262,"bheraghasi, mahola baibha, nijampur nikati,ambersot, ambuwapur,bhanpur haruwa,gopalapur,tiyatilok, bajudiha,padri mohan",617,2251,1,17,205136.59,2080072.96,0,0,2267,18,2204,7,1855,0,650,3,0,166483,637,637,1442,2223,325,2268,2089,133,8.0%,6.4%
SITAPUR,EDC LAKHIMPUR,EDD-MITAULI LAKHIMPURKHIRI,DIV392262,"fardhan, rampur gokul, dhaurahra, ganeshpur",130,1498,1,19,142358.49,1547942.93,0,0,1515,24,1344,72,1028,2,745,0,0,207089,301,301,752,1480,158,1517,1463,106,13.4%,7.2%
SITAPUR,EDC LAKHIMPUR,EDD-MITAULI LAKHIMPURKHIRI,DIV392262,"sunderwal, saidipur ashogapur, belihan",74,1658,0,9,265453.71,2094412.34,0,1,1664,47,1506,51,1328,1,496,1,0,291314,308,308,941,1662,268,1667,1613,131,13.9%,8.1%
SITAPUR,EDC SITAPUR,EDD BISWAN,DIV392323,laharpur town,49,1682,0,32,346453.07,2985915.45,0,2,1690,52,1692,424,1310,0,238,0,0,2050943.06,16,16,78,1698,7,1714,1618,823,68.7%,50.9%
SITAPUR,EDC SITAPUR,EDD I SITAPUR,DIV392321,"krishna nagar, shastri nagar",897,1999,6,37,708554.78,6182582.82,0,6,2036,6,2000,324,1788,8,185,1,0,4757411,21,21,241,2029,61,2036,1983,849,76.9%,42.8%
SITAPUR,EDC SITAPUR,EDD I SITAPUR,DIV392321,maholi town,1394,4487,2,69,924584.2,7512000.93,0,0,4549,55,4361,323,2949,23,137,17,0,3109346,412,412,999,4521,287,4556,4449,1331,41.4%,29.9%
SITAPUR,EDC SITAPUR,EDD I SITAPUR,DIV392321,"ramlila maidan , manni chauraha",1291,3117,4,29,718864.56,4517149.82,0,0,3146,32,3019,424,2691,4,257,2,0,3370832,57,57,481,3137,8,3146,3047,1381,74.6%,45.3%
SITAPUR,EDC SITAPUR,EDD I SITAPUR,DIV392321,vikas nagar khoobpur,1529,3822,15,62,1056236.77,8543803.27,0,3,3884,29,3811,412,3340,12,363,0,0,5740514.53,37,37,452,3859,19,3884,3777,1728,67.2%,45.8%
SITAPUR,EDC SITAPUR,EDD MAHMUDABAD,DIV392324,"chandapur bazar, chandpur lodhuni, katra",2,1014,0,3,97471.51,691977.54,0,0,1017,6,931,13,456,0,19,0,0,211807,130,130,210,1005,81,1017,943,149,30.6%,15.8%
SITAPUR,EDC SITAPUR,EDD MAHMUDABAD,DIV392324,jahgirabad  town,2,2381,0,27,515254.83,3122194.69,0,4,2408,84,2263,58,998,1,156,0,0,2034173,390,390,800,2371,188,2408,2331,484,65.2%,20.8%
SITAPUR,EDC SITAPUR,EDD MAHMUDABAD,DIV392324,"motipur churaha, bibipur",759,3210,3,65,883963.12,7277773.69,0,5,3275,36,3233,256,2520,9,147,1,0,4549292,34,34,318,3182,13,3275,3161,1524,62.5%,48.2%
SITAPUR,EDC SITAPUR,EDD MAHMUDABAD,DIV392324,"paigamber, bhattha",733,2123,3,38,603478.48,4762892.66,0,2,2161,16,2132,148,1711,3,86,0,0,3130829,11,11,150,2109,23,2161,2087,934,65.7%,44.8%
SITAPUR,EDC SITAPUR,EDD MAHMUDABAD,DIV392324,reusa,3,2319,1,12,206287.02,1200425.18,0,0,2331,29,2120,18,1592,1,157,0,0,501518,580,580,941,2293,252,2331,2264,307,41.8%,13.6%
SITAPUR,EDC SITAPUR,EDD MAHMUDABAD,DIV392324,sevta,1,1686,0,11,151472.41,489858.20999999996,0,0,1697,11,1610,8,948,1,106,0,0,263975.51,414,414,548,1658,148,1697,1619,169,53.9%,10.4%
SITAPUR,EDC SITAPUR,EDD MAHMUDABAD,DIV392324,"sherapur, bargadiya, katra, purani bazar, paigamber pur",377,1004,0,24,510206.27,4361873.37,0,8,1028,5,1012,37,750,2,27,1,0,3141652,12,12,104,1012,17,1028,973,392,72.0%,40.3%
